Year, Month,  Highest, meanHighHighWater, meanHighWater, meanSeaLevel, MTL, meanLowWater, meanLowLowWater, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1935,7,0.339,,-0.018,-0.152,-0.155,-0.292,,,,0.274,,,10.340,4.200,-0.515,0
1935,8,0.308,,0.028,-0.112,-0.115,-0.256,,,,0.283,,,10.310,3.890,-0.545,0
1935,9,0.278,,0.031,-0.097,-0.103,-0.237,,,,0.268,,,10.350,4.060,-0.576,0
1935,10,0.339,,-0.036,-0.158,-0.164,-0.295,,,,0.259,,,10.250,4.030,-0.789,0
1935,11,0.400,,-0.015,-0.137,-0.140,-0.265,,,,0.250,,,10.160,3.880,-0.850,0
1935,12,0.308,,-0.231,-0.350,-0.353,-0.475,,,,0.244,,,10.150,4.100,-1.002,0
1936,1,0.247,,-0.240,-0.365,-0.371,-0.503,,,,0.262,,,10.240,4.090,-1.063,0
1936,2,0.247,,-0.186,-0.311,-0.317,-0.448,,,,0.262,,,10.330,4.310,-0.850,0
1936,3,0.522,,-0.018,-0.146,-0.149,-0.280,,,,0.262,,,10.240,4.100,-0.545,0
1936,4,0.400,,-0.109,-0.250,-0.253,-0.399,,,,0.290,,,10.290,4.100,-0.759,0
1936,5,0.339,,-0.094,-0.228,-0.234,-0.375,,,,0.280,,,10.170,4.050,-0.850,0
1936,6,0.552,,-0.003,-0.140,-0.143,-0.286,,,,0.283,,,10.170,4.160,-0.515,0
1936,7,0.247,,0.006,-0.125,-0.131,-0.265,,,,0.271,,,10.020,4.240,-0.576,0
1936,8,0.369,,-0.021,-0.161,-0.161,-0.301,,,,0.280,,,10.240,4.210,-0.576,0
1936,9,0.339,,0.028,-0.134,-0.118,-0.265,,,,0.293,,,10.120,4.310,-1.307,0
1936,10,0.522,,0.006,-0.131,-0.137,-0.283,,,,0.290,,,10.090,4.120,-0.820,0
1936,11,0.186,,-0.216,-0.329,-0.347,-0.481,,,,0.265,,,10.090,4.080,-1.185,6
1936,12,0.339,,-0.186,-0.311,-0.317,-0.448,,,,0.262,,,9.990,4.050,-0.911,0
1937,1,0.278,,-0.085,-0.210,-0.213,-0.341,,,,0.256,,,9.960,3.970,-0.637,0
1937,2,0.552,,-0.097,-0.237,-0.234,-0.375,,,,0.277,,,10.240,4.030,-1.063,0
1937,3,0.156,,-0.219,-0.353,-0.359,-0.499,,,,0.280,,,10.250,3.990,-0.789,0
1938,1,0.674,,-0.085,-0.222,-0.222,-0.362,,,,0.277,,,10.160,4.140,-0.820,0
1938,2,0.247,,-0.134,-0.256,-0.268,-0.402,,,,0.268,,,10.140,4.130,-1.094,0
1938,3,0.339,,-0.076,-0.207,-0.207,-0.338,,,,0.262,,,10.390,4.190,-0.759,0
1938,4,0.247,,-0.064,-0.204,-0.210,-0.359,,,,0.296,,,10.140,4.080,-0.941,0
1938,5,0.400,,-0.006,-0.152,-0.158,-0.311,,,,0.305,,,10.200,4.050,-0.606,0
1938,6,0.278,,-0.018,-0.149,-0.158,-0.298,,,,0.280,,,10.160,4.160,-0.637,0
1938,7,0.186,,-0.006,-0.149,-0.155,-0.304,,,,0.299,,,10.290,4.250,-0.454,0
1938,8,0.369,,-0.015,-0.158,-0.161,-0.307,,,,0.293,,,10.270,4.220,-0.545,0
1938,9,0.247,,-0.009,-0.152,-0.155,-0.301,,,,0.293,,,,,-0.759,0
1938,10,0.247,,0.010,-0.122,-0.125,-0.259,,,,0.268,,,,,-0.850,5
1938,11,0.308,,-0.067,-0.201,-0.207,-0.347,,,,0.280,,,,,-0.789,5
1938,12,0.278,,-0.152,-0.280,-0.283,-0.414,,,,0.262,,,10.120,4.110,-0.820,0
1939,1,0.186,,-0.167,-0.301,-0.304,-0.445,,,,0.277,,,10.070,4.080,-1.033,0
1939,2,0.430,,-0.134,-0.268,-0.274,-0.411,,,,0.277,,,10.150,4.160,-0.728,0
1939,3,0.308,,-0.067,-0.207,-0.207,-0.350,,,,0.283,,,10.070,4.050,-0.789,0
1939,4,0.339,,-0.064,-0.204,-0.210,-0.356,,,,0.293,,,10.200,4.100,-0.911,0
1939,5,0.339,,0.006,-0.134,-0.143,-0.292,,,,0.299,,,10.210,4.200,-0.606,0
1939,6,0.339,,0.040,-0.106,-0.112,-0.265,,,,0.305,,,10.160,4.210,-0.515,0
1939,7,0.278,,0.013,-0.118,-0.128,-0.268,,,,0.280,,,10.090,4.140,-0.545,0
1939,8,0.461,,0.019,-0.115,-0.122,-0.265,,,,0.283,,,10.190,4.340,-0.667,0
1939,9,0.430,,0.089,-0.042,-0.048,-0.186,,,,0.274,,,10.040,4.150,-0.637,0
1939,10,0.217,,-0.048,-0.170,-0.176,-0.307,,,,0.259,,,10.220,4.020,-0.728,0
1939,11,0.278,,-0.112,-0.237,-0.240,-0.368,,,,0.256,,,10.130,3.960,-0.667,0
1939,12,0.217,,-0.195,-0.329,-0.332,-0.469,,,,0.274,,,10.140,4.080,-1.033,0
1940,1,0.430,,-0.250,-0.378,-0.378,-0.509,,,,0.259,,,10.170,4.160,-0.941,0
1940,2,0.461,,-0.088,-0.228,-0.234,-0.378,,,,0.290,,,10.470,4.200,-1.216,0
1940,3,0.339,,-0.115,-0.250,-0.256,-0.396,,,,0.280,,,10.130,4.110,-0.972,0
1940,4,0.278,,-0.073,-0.195,-0.204,-0.335,,,,0.262,,,10.680,4.340,-0.850,0
1940,5,0.491,,0.058,-0.079,-0.085,-0.225,,,,0.283,,,10.430,4.230,-0.545,0
1940,6,0.339,,0.037,-0.103,-0.112,-0.262,,,,0.299,,,10.490,4.200,-0.545,0
1940,7,0.247,,-0.009,-0.146,-0.152,-0.298,,,,0.290,,,10.500,4.370,-0.576,0
1940,8,0.369,,0.107,-0.030,-0.033,-0.173,,,,0.280,,,10.330,4.150,-0.454,0
1940,9,0.308,,0.028,-0.103,-0.109,-0.250,,,,0.277,,,10.360,4.080,-0.972,0
1940,10,0.278,,0.013,-0.115,-0.128,-0.265,,,,0.277,,,10.220,4.130,-0.667,0
1940,11,0.308,,-0.103,-0.228,-0.234,-0.365,,,,0.262,,,10.280,4.140,-0.728,0
1940,12,0.461,,-0.082,-0.210,-0.213,-0.347,,,,0.265,,,10.360,4.050,-0.759,0
1941,1,0.308,,-0.125,-0.250,-0.256,-0.387,,,,0.262,,,10.320,4.200,-0.880,0
1941,2,0.186,,-0.259,-0.387,-0.387,-0.518,,,,0.259,,,10.320,4.200,-0.941,0
1941,3,0.186,,-0.246,-0.371,-0.378,-0.509,,,,0.262,,,10.410,4.010,-1.155,0
1941,4,0.369,,-0.021,-0.152,-0.161,-0.301,,,,0.280,,,10.200,3.950,-0.759,0
1941,5,0.186,,-0.085,-0.219,-0.228,-0.368,,,,0.283,,,10.220,4.080,-0.789,0
1941,6,0.400,,0.025,-0.100,-0.112,-0.253,,,,0.277,,,10.130,4.080,-0.515,0
1941,7,0.400,,0.034,-0.100,-0.106,-0.246,,,,0.280,,,10.130,4.080,-0.515,0
1941,8,0.247,,-0.021,-0.152,-0.155,-0.292,,,,0.271,,,10.280,4.130,-0.606,0
1941,9,0.461,,-0.003,-0.128,-0.137,-0.274,,,,0.271,,,10.260,4.110,-0.667,0
1941,10,0.247,,-0.058,-0.182,-0.186,-0.317,,,,0.259,,,10.360,4.020,-0.667,0
1941,11,0.339,,-0.115,-0.237,-0.243,-0.371,,,,0.256,,,,,-0.698,5
1941,12,0.400,,-0.170,-0.298,-0.298,-0.426,,,,0.256,,,10.220,3.890,-0.880,0
1942,1,0.491,,-0.182,-0.304,-0.314,-0.445,,,,0.262,,,10.100,4.010,-0.850,0
1942,2,0.278,,-0.246,-0.365,-0.368,-0.487,,,,0.241,,,9.950,4.040,-1.033,0
